Model Subfolder,Task,Embedding Type,Variant,CI_Mode,CI_Alpha,Accuracy_mean,Accuracy_ci_low,Accuracy_ci_high,Precision_mean,Precision_ci_low,Precision_ci_high,Recall_mean,Recall_ci_low,Recall_ci_high,F1_mean,F1_ci_low,F1_ci_high,ROC_AUC_mean,ROC_AUC_ci_low,ROC_AUC_ci_high
prot_bert_bfd,AGG,ESM2,original,normal,0.05,0.8126353790613718,0.8037349569707596,0.8215358011519841,0.7182422647193754,0.6991640568178037,0.737320472620947,0.795,0.7783937187610489,0.8116062812389512,0.7540427129868174,0.7460704350668873,0.7620149909067474,0.8737062146892656,0.871722396088473,0.8756900332900581
prot_bert_bfd,EV,Baseline,baseline,normal,0.05,0.6473535638673253,0.6181566277365809,0.6765504999980698,0.5188035022154038,0.4865800749289056,0.551026929501902,0.670674486803519,0.5925945347116832,0.7487544388953549,0.5769568508738562,0.5643131501017751,0.5896005516459373,0.7157521942857082,0.7131865650449561,0.7183178235264603
prot_bert_bfd,EV,Informed,informed,normal,0.05,0.6687367678193368,0.6501105563667468,0.6873629792719268,0.5381924486310038,0.5135028827671632,0.5628820144948444,0.6752688172043012,0.6152698553364294,0.735267779072173,0.5942646997972547,0.5833685691276144,0.6051608304668951,0.7394787636972493,0.7359104072557329,0.7430471201387657
esm2_t33_650M_UR50D,TM,Partitioned,adapted,normal,0.05,0.9772445820433434,0.9700103713206524,0.9844787927660344,0.8944186019197289,0.8459708656229865,0.9428663382164713,0.9608695652173914,0.9421075564066125,0.9796315740281704,0.9244633396009247,0.9031290022547412,0.9457976769471083,0.996556663004238,0.9959537208199974,0.9971596051884785
esm2_t33_650M_UR50D,TM,ESM2,original,normal,0.05,0.9896284829721361,0.9842527296040331,0.9950042363402392,0.9570560213556257,0.9222220761714125,0.991889966539839,0.9739130434782608,0.9655545046984009,0.9822715822581207,0.9646177061190958,0.9478988327059735,0.9813365795322181,0.9929838329932504,0.9916152111370077,0.9943524548494932
prot_bert_bfd,TM,ESM2,original,normal,0.05,0.9848297213622292,0.9821782078035823,0.9874812349208761,0.9271582909184941,0.9086149579472355,0.9457016238897528,0.9706521739130434,0.963275574468954,0.9780287733571328,0.948141518581893,0.9397546607429262,0.9565283764208597,0.9967607126039869,0.996235443032578,0.9972859821753958
prot_bert_bfd,TM,Partitioned,adapted,normal,0.05,0.9851393188854489,0.9819129376681288,0.988365700102769,0.9277023614873545,0.9051251617353271,0.950279561239382,0.9728260869565218,0.9629565291925363,0.9826956447205074,0.9493264683649552,0.9390321345826291,0.9596208021472812,0.9976338094490661,0.997020271207871,0.9982473476902612
prot_bert_bfd,EV,Partitioned,adapted,normal,0.05,0.715349329569513,0.7059203728550336,0.7247782862839924,0.5972065281962763,0.5694880679937782,0.6249249883987744,0.6845552297165202,0.6261203758747305,0.7429900835583099,0.63281552657696,0.6164539382859787,0.6491771148679414,0.7850609909141107,0.7827320770862234,0.7873899047419981
prot_bert_bfd,EV,ESM2,original,normal,0.05,0.7273465067043048,0.7119247737388158,0.7427682396697938,0.6240028961146662,0.5856770685411304,0.662328723688202,0.660117302052786,0.5968133613193469,0.723421242786225,0.6346376969379374,0.6217623272200508,0.647513066655824,0.7954353837442846,0.7918590124448759,0.7990117550436933
esm2_t33_650M_UR50D,EV,ESM2,original,normal,0.05,0.7188426252646435,0.7055087570069022,0.7321764935223848,0.6002171845368796,0.5754897819033487,0.6249445871704105,0.6887585532746824,0.6429299534200273,0.7345871531293374,0.6382895729017171,0.6301817453228429,0.6463974004805912,0.792523100656194,0.7907540681811903,0.7942921331311977
esm2_t33_650M_UR50D,EV,Partitioned,adapted,normal,0.05,0.6984121383203952,0.6820972305570833,0.7147270460837071,0.5633705219046092,0.5376192453749313,0.5891217984342871,0.7793743890518084,0.7329675166347341,0.8257812614688828,0.6508036106696026,0.6446838780608516,0.6569233432783536,0.7960683409143536,0.7922875962732372,0.7998490855554701
