Model Subfolder,Task,Embedding Type,Accuracy_mean,Accuracy_ci_low,Accuracy_ci_high,F1_mean,F1_ci_low,F1_ci_high,ROC_AUC_mean,ROC_AUC_ci_low,ROC_AUC_ci_high,Precision_mean,Precision_ci_low,Precision_ci_high,Recall_mean,Recall_ci_low,Recall_ci_high
esm2_t33_650M_UR50D,EV,Informed,0.7011997177134791,0.6974109950592312,0.704988440367727,0.4936136830415222,0.4888164211520228,0.4984109449310216,0.740616348555288,0.7377233047268285,0.7435093923837476,0.6363208846263211,0.6242148685026683,0.6484269007499739,0.4035190615835777,0.39567804531183803,0.41136007785531736
esm2_t33_650M_UR50D,EV,Baseline,0.7052928722653493,0.7021972579498439,0.7083884865808547,0.5137651913971646,0.5060421733127795,0.5214882094815497,0.7382398646697466,0.7367572592497893,0.7397224700897038,0.6351015076410209,0.6293707153871553,0.6408322998948865,0.4314760508308895,0.42195519527666403,0.440996906385115
esm2_t33_650M_UR50D,EV,ESM2,0.7453775582215949,0.742538664612991,0.7482164518301988,0.6086752258705503,0.6046301775640536,0.6127202741770471,0.7954200813644002,0.7930328232685295,0.7978073394602709,0.6836274861515136,0.6777025358622223,0.6895524364408049,0.5485826001955034,0.5440173436800203,0.5531478567109865
esm2_t33_650M_UR50D,TM,Partitioned,0.9724458204334366,0.9705066162362607,0.9743850246306126,0.8943251665416815,0.8862639667716987,0.9023863663116642,0.988985245644326,0.987082537377437,0.990887953911215,0.9844240715424926,0.9786183393251352,0.9902298037598499,0.8195652173913043,0.8057526992284982,0.8333777355541103
esm2_t33_650M_UR50D,TM,Informed,0.9623839009287926,0.959249629283444,0.9655181725741411,0.8563669557930096,0.8449689042475553,0.8677650073384638,0.9712721707738188,0.968190547580418,0.9743537939672196,0.9393144608001369,0.92258939287888,0.9560395287213939,0.7869565217391304,0.7785979829592705,0.7953150605189904
esm2_t33_650M_UR50D,TM,Baseline,0.9592879256965944,0.9562418369134806,0.9623340144797081,0.8473761247448026,0.8362605969641275,0.8584916525254778,0.9672598493172186,0.9651664748700818,0.9693532237643555,0.909630515579981,0.8925415520073179,0.9267194791526441,0.7934782608695652,0.7802622506419641,0.8066942710971663
esm2_t33_650M_UR50D,TM,ESM2,0.9726006191950465,0.9694231737300625,0.9757780646600305,0.8939203497898326,0.8801824792381313,0.9076582203415339,0.9867936744624076,0.98355329077928,0.9900340581455352,0.9934035087719298,0.9884292680795647,0.998377749464295,0.8130434782608695,0.7911118839752261,0.8349750725465129
prot_bert_bfd,AGG,Partitioned,0.7844765342960288,0.7731180302799414,0.7958350383121162,0.6887916644052593,0.6694618227491542,0.7081215060613644,0.8534632768361583,0.8474798790344827,0.8594466746378339,0.7189868754395569,0.703380253152591,0.7345934977265227,0.6619999999999999,0.6330302532832931,0.6909697467167067
prot_bert_bfd,AGG,Informed,0.7851985559566786,0.7747792074946063,0.795617904418751,0.6945864016766727,0.6765462459616814,0.712626557391664,0.8541864406779661,0.8444102452123864,0.8639626361435458,0.7133393233000369,0.6978442774085353,0.7288343691915385,0.678,0.6484473025761355,0.7075526974238646
prot_bert_bfd,AGG,Baseline,0.7924187725631768,0.7838751930510808,0.8009623520752729,0.7025787383525139,0.6855300435063928,0.7196274331986351,0.8598418079096046,0.8525102619786161,0.8671733538405931,0.727261978537957,0.7149712971541886,0.7395526599217255,0.6809999999999999,0.6501943988784226,0.7118056011215773
prot_bert_bfd,AGG,ESM2,0.7895306859205775,0.7824268109967815,0.7966345608443736,0.6861369298291504,0.6700637826204285,0.7022100770378723,0.8536553672316384,0.8469375287391104,0.8603732057241663,0.7427352892127836,0.7315166095299972,0.7539539688955701,0.639,0.6093225058323815,0.6686774941676186
prot_bert_bfd,EV,Partitioned,0.7378616796047989,0.7351917805355799,0.7405315786740179,0.5728724333323468,0.5673836018583415,0.5783612648063522,0.7827545147418323,0.7807492422298603,0.7847597872538044,0.6956224136173943,0.6888200484143875,0.7024247788204011,0.4870967741935484,0.47914395643924834,0.4950495919478485
prot_bert_bfd,EV,Informed,0.7195836273817925,0.7168312127648128,0.7223360419987722,0.5154370719478607,0.50863358057731,0.5222405633184114,0.749947615662512,0.7472398788562301,0.7526553524687939,0.6850905276746625,0.6776019573785311,0.6925790979707939,0.41329423264907134,0.40473753105148313,0.42185093424665954
prot_bert_bfd,EV,Baseline,0.7032815808045166,0.6989954838926714,0.7075676777163619,0.5015846131245711,0.4934119230818838,0.5097573031672585,0.7341702952468703,0.7311477681522762,0.7371928223414643,0.6370975322117665,0.6280193907992889,0.646175673624244,0.4136852394916911,0.40530172944422005,0.4220687495391622
prot_bert_bfd,EV,ESM2,0.7366619618913197,0.734137626510463,0.7391862972721764,0.5754988421880081,0.5697618620985923,0.5812358222774239,0.7832978436868643,0.7807185372906748,0.7858771500830538,0.6882431764219505,0.6828125751698472,0.6936737776740539,0.4946236559139784,0.48645548024915053,0.5027918315788062
prot_bert_bfd,TM,Partitioned,0.9792569659442723,0.9777621389723059,0.9807517929162386,0.9225242982547724,0.9168104840141056,0.9282381124954393,0.9926659865013342,0.9911032119607605,0.9942287610419079,0.985318091916452,0.9773064870525253,0.9933296967803787,0.8673913043478262,0.8585637035205732,0.8762189051750792
prot_bert_bfd,TM,Informed,0.9691950464396285,0.966834401582076,0.971555691297181,0.8852662424226947,0.8762530067790784,0.894279478066311,0.9718254591115993,0.968458832012106,0.9751920862110927,0.9428643254998252,0.928010395277843,0.9577182557218075,0.8347826086956521,0.8202126864739345,0.8493525309173697
prot_bert_bfd,TM,Baseline,0.9609907120743035,0.9589824755706873,0.9629989485779198,0.8563974729069775,0.8481053401570534,0.8646896056569017,0.968397818238895,0.9659101027909581,0.970885533686832,0.8997647135284241,0.89057339298305,0.9089560340737982,0.817391304347826,0.8023673819816443,0.8324152267140078
prot_bert_bfd,TM,ESM2,0.9687306501547989,0.9660282391779488,0.971433061131649,0.8815654012527505,0.8703994355375637,0.8927313669679373,0.9821809762988541,0.9795413832143021,0.9848205693834062,0.9558241335866852,0.9458305643764189,0.9658177027969514,0.8184782608695652,0.7997700371923151,0.8371864845468153
